stat_nm,stat_id,chger_id,charger_type,addr,lat,lon,use_time,busi_id,busi_nm,busi_call,chger_stat,stat_upd_dt,power_type,city_do_cd,parking_free_yn,stat_note,limit_yn,limit_detail,del_yn,del_detail
개포래미안포레스트,SF001372,28,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,29,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,30,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,31,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,32,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,33,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,34,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,35,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,36,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,37,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,38,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,39,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,40,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,41,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,42,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,43,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,44,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,45,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,46,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,47,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,48,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,49,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,50,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,51,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,52,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,53,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,54,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,55,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,56,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,57,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,58,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,59,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,60,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,61,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,62,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,63,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,64,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,65,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,66,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,67,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,68,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트,SF001372,69,완속,서울특별시 강남구 개포로 264,37.47975035,127.0522282,09:00~18:00,SF,(주)스타코프,1833-4903,9,,,11,N,,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,N,
개포래미안포레스트(구),EP200492,1,완속,서울특별시 강남구 개포로 264,37.4797504,127.0522282,09:00~18:00,EP,(주)이카플러그,1833-4577,4,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트(구),EP200492,2,완속,서울특별시 강남구 개포로 264,37.4797504,127.0522282,09:00~18:00,EP,(주)이카플러그,1833-4577,4,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트(구),EP200492,3,완속,서울특별시 강남구 개포로 264,37.4797504,127.0522282,09:00~18:00,EP,(주)이카플러그,1833-4577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트1(A블럭 105동 B4F),EP210111,1,완속,서울특별시 강남구 개포로 264,37.4800746,127.0533075,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,3,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트1(A블럭 105동 B4F),EP210111,2,완속,서울특별시 강남구 개포로 264,37.4800746,127.0533075,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,3,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트1(A블럭 105동 B4F),EP210111,11,완속,서울특별시 강남구 개포로 264,37.4800746,127.0533075,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,3,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트1(A블럭 105동 B4F),EP210111,12,완속,서울특별시 강남구 개포로 264,37.4800746,127.0533075,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,3,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트1(A블럭 105동 B4F)(구),EP210032,1,완속,서울특별시 강남구 개포로 264,37.4800566,127.0533188,24시간 이용가능,EP,이카플러그,18334577,9,2.02E+13,,11,Y,,N,,N,
개포래미안포레스트1(A블럭 105동 B4F)(구),EP210032,2,완속,서울특별시 강남구 개포로 264,37.4800566,127.0533188,24시간 이용가능,EP,이카플러그,18334577,9,2.02E+13,,11,Y,,N,,N,
개포래미안포레스트2(A블럭 108동 B4F),EP210112,1,완속,서울특별시 강남구 개포로 264,37.4797231,127.05359,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트2(A블럭 108동 B4F),EP210112,2,완속,서울특별시 강남구 개포로 264,37.4797231,127.05359,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트2(A블럭 108동 B4F),EP210112,11,완속,서울특별시 강남구 개포로 264,37.4797231,127.05359,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트2(A블럭 108동 B4F),EP210112,12,완속,서울특별시 강남구 개포로 264,37.4797231,127.05359,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트2(A블럭 108동 B4F)(구),EP210033,1,완속,서울특별시 강남구 개포로 264,37.479678,127.0536125,24시간 이용가능,EP,이카플러그,18334577,9,2.02E+13,,11,Y,,N,,N,
개포래미안포레스트2(A블럭 108동 B4F)(구),EP210033,2,완속,서울특별시 강남구 개포로 264,37.479678,127.0536125,24시간 이용가능,EP,이카플러그,18334577,9,2.02E+13,,11,Y,,N,,N,
개포래미안포레스트3(B블럭 126동 B2F),EP210113,1,완속,서울특별시 강남구 개포로 264,37.477974,127.0559968,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트3(B블럭 126동 B2F),EP210113,11,완속,서울특별시 강남구 개포로 264,37.477974,127.0559968,24시간 이용가능(외부인 출입제한),EP,(주)이카플러그,18334577,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
개포래미안포레스트3(B블럭 126동 B2F)(구),EP210034,1,완속,서울특별시 강남구 개포로 264,37.477938,127.0559855,24시간 이용가능,EP,이카플러그,18334577,9,2.02E+13,,11,Y,,N,,N,
개포현대1차,LH106900,1,완속,서울특별시 강남구 개포로 303,37.48328034,127.0543931,24시간 이용가능,LH,LG헬로비전,1855-1078,9,,,11,N,입주민 전용,Y,거주자외 출입이 제한될 수 있습니다.,N,
개포현대1차,LH106900,2,완속,서울특별시 강남구 개포로 303,37.48328034,127.0543931,24시간 이용가능,LH,LG헬로비전,1855-1078,9,,,11,N,입주민 전용,Y,거주자외 출입이 제한될 수 있습니다.,N,
개포현대1차,LH106900,3,완속,서울특별시 강남구 개포로 303,37.48328034,127.0543931,24시간 이용가능,LH,LG헬로비전,1855-1078,9,,,11,N,입주민 전용,Y,거주자외 출입이 제한될 수 있습니다.,N,
강남 개포1동주민센터,EV001750,1,완속,서울특별시 강남구 개포로 310-17 (개포동),37.48197917,127.0574855,평일 09시~18시 이용가능,EV,에버온,1661-7766,3,2.02E+13,,11,Y,,N,,N,
개포현대3차아파트,MO116803,1,완속,서울특별시 강남구 개포로 409,37.48806113,127.0608592,24시간 이용가능,MO,매니지온,1833-2377,9,,,11,Y,,Y,거주자외 출입제한,N,
개포동공원 공영주차장,ME000042,1,급속,서울특별시 강남구 개포로 509,37.489757,127.068269,24시간 이용가능,ME,환경부,1661-9408,9,2.02E+13,,11,Y,,N,,N,
일원2동 주민센터,ME19A157,1,급속,서울특별시 강남구 개포로 607,37.4919959,127.0738859,24시간 이용가능,ME,환경부,1661-9408,2,2.02E+13,,11,Y,,N,,N,
서울시 강남구 서울주택도시공사,PI000710,1,완속,서울특별시 강남구 개포로 621,37.49413049,127.0787811,24시간 이용가능,PI,차지비,1600-4047,1,2.02E+13,,11,N,,N,,N,
서울시 강남구 서울주택도시공사,PI000710,2,완속,서울특별시 강남구 개포로 621,37.49413049,127.0787811,24시간 이용가능,PI,차지비,1600-4047,2,2.02E+13,,11,N,,N,,N,
서울시 강남구 서울주택도시공사,PI000710,3,완속,서울특별시 강남구 개포로 621,37.49413049,127.0787811,24시간 이용가능,PI,차지비,1600-4047,2,2.02E+13,,11,N,,N,,N,
서울시 강남구 서울주택도시공사,PI000710,4,완속,서울특별시 강남구 개포로 621,37.49413049,127.0787811,24시간 이용가능,PI,차지비,1600-4047,3,2.02E+13,,11,N,,N,,N,
서울시 강남구 서울주택도시공사,PI000710,5,완속,서울특별시 강남구 개포로 621,37.49413049,127.0787811,24시간 이용가능,PI,차지비,1600-4047,2,2.02E+13,,11,N,,N,,N,
